"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",241507,241878,".","-",".","NCU17161","NCU17161"
"CM002241.1","Genbank","gene",26616,28474,".","-",".","NCU17055","NCU17055"
"CM002240.1","Genbank","gene",6084713,6086068,".","-",".","NCU17041","NCU17041"
"CM002240.1","Genbank","gene",6087154,6088614,".","-",".","NCU17042","NCU17042"
"CM002240.1","Genbank","gene",6100092,6100997,".","-",".","NCU17043","NCU17043"
"CM002240.1","Genbank","gene",642040,642719,".","+",".","NCU16926","NCU16926"
"CM002239.1","Genbank","gene",5937270,5937656,".","-",".","NCU16905","NCU16905"
"CM002239.1","Genbank","gene",5946299,5947549,".","+",".","NCU16906","NCU16906"
"CM002239.1","Genbank","gene",5096650,5097060,".","+",".","NCU16876","NCU16876"
"CM002239.1","Genbank","gene",597156,597810,".","-",".","NCU16738","NCU16738"
"CM002239.1","Genbank","gene",103519,106130,".","+",".","NCU16720","NCU16720"
"CM002239.1","Genbank","gene",360310,360701,".","+",".","NCU16728","NCU16728"
"CM002238.1","Genbank","gene",5228166,5229513,".","-",".","NCU16716","NCU16716"
"CM002238.1","Genbank","gene",266740,267175,".","+",".","NCU16611","NCU16611"
"CM002238.1","Genbank","gene",382227,382889,".","+",".","NCU16614","NCU16614"
"CM002236.1","Genbank","gene",246887,247478,".","-",".","NCU16307","NCU16307"
"CM002241.1","Genbank","gene",432497,433014,".","+",".","NCU12076","NCU12076"
"CM002241.1","Genbank","gene",48620,49910,".","+",".","NCU12065","NCU12065"
"CM002241.1","Genbank","gene",151704,153543,".","+",".","NCU12068","NCU12068"
"CM002241.1","Genbank","gene",155205,156962,".","+",".","NCU12069","NCU12069"
"CM002242.1","Genbank","gene",306376,307498,".","-",".","NCU12051","NCU12051"
"CM002239.1","Genbank","gene",193862,195389,".","-",".","NCU11364","NCU11364"
"CM002239.1","Genbank","gene",195504,197458,".","+",".","NCU11363","NCU11363"
"CM002241.1","Genbank","gene",24458,25894,".","+",".","NCU11342","NCU11342"
"CM002238.1","Genbank","gene",4631535,4633728,".","+",".","NCU11286","NCU11286"
"CM002238.1","Genbank","gene",5225994,5226818,".","+",".","NCU10641","NCU10641"
